task_id,classification,status,family,created_at,completed_at,latency_days,dispatch_count
t_4a6e6f98c019,work,abandoned,organic,2026-07-07,,,
t_6aa37e8e2d24,work,done,organic,2026-07-07,2026-07-07,0.02,1
t_1ef587334055,work,done,organic,2026-07-08,2026-07-08,0.02,1
t_feb171d84e92,work,done,organic,2026-07-09,2026-07-09,0.01,1
t_e4ffbb25e230,work,done,organic,2026-07-09,2026-07-09,0.04,1
t_a610ae625bf1,work,done,organic,2026-07-10,2026-07-10,0.01,1
t_c85001bd8be6,work,done,organic,2026-07-10,2026-07-10,0.0,1
t_f1e144702a42,work,done,organic,2026-07-10,2026-07-10,0.06,1
t_fa8de1daf9e0,work,done,organic,2026-07-10,2026-07-10,0.01,1
t_4d32bcfbc06b,work,done,organic,2026-07-10,2026-07-10,0.01,1
t_aea7a46be2d2,work,done,organic,2026-07-11,2026-07-11,0.0,1
t_1b67d2e14bff,work,done,organic,2026-07-11,2026-07-11,0.0,1
merge-clean-luca,work,abandoned,organic,2026-07-11,,,9
t_5c7ee9870f95,work,done,organic,2026-07-11,2026-07-11,0.0,1
t_09028eada595,governance,done,organic,2026-07-11,2026-07-11,0.0,1
t_d05c04eebc57,work,done,organic,2026-07-11,2026-07-11,0.01,1
t_fb180c1e0726,work,done,organic,2026-07-11,2026-07-11,0.01,1
t_a6001f79d689,work,done,organic,2026-07-11,2026-07-11,0.0,1
t_2ab4f70c7f20,work,done,organic,2026-07-11,2026-07-11,0.0,1
t_ad6f6a34b6da,work,done,organic,2026-07-11,2026-07-11,0.08,1
t_fb05e93312e5,work,done,organic,2026-07-11,2026-07-11,0.01,1
t_18c664f4ca0c,work,done,organic,2026-07-11,2026-07-11,0.02,2
t_d3b3be595f5c,work,done,organic,2026-07-11,2026-07-12,0.74,3
t_598a3b866a62,work,done,organic,2026-07-11,2026-07-12,0.76,4
t_41599adb0a79,work,done,organic,2026-07-11,2026-07-13,1.8,1
t_8f2cb1752ccb,work,done,organic,2026-07-11,2026-07-16,4.71,2
land-revised-luca,work,done,organic,2026-07-11,2026-07-16,4.87,8
t_06f2c9c45d49,work,done,organic,2026-07-11,2026-07-16,4.93,3
t_8f51e55b7c4b,work,done,organic,2026-07-11,2026-07-16,4.97,2
land-revised-luca-4,work,done,organic,2026-07-11,2026-07-18,6.98,34
t_61c5ede8872a,work,done,organic,2026-07-11,2026-07-18,6.99,1
t_6d3f454279b3,work,done,organic,2026-07-12,2026-07-12,0.02,1
t_2d7a004b92e2,work,done,organic,2026-07-12,2026-07-12,0.02,1
t_0b94f1084e1c,work,done,organic,2026-07-12,2026-07-12,0.0,1
t_2c8292aea367,governance,done,organic,2026-07-13,2026-07-13,0.0,1
t_5292069df374,governance,done,organic,2026-07-13,2026-07-13,0.0,
t_936f14783ce6,governance,done,organic,2026-07-13,2026-07-13,0.0,
t_79a525948485,governance,done,organic,2026-07-13,2026-07-13,0.0,1
t_7f8d076c9fe9,governance,done,organic,2026-07-13,2026-07-13,0.0,1
t_578a67a97d58,work,done,organic,2026-07-13,2026-07-13,0.02,1
t_4b22dc4d1d9b,work,done,organic,2026-07-13,2026-07-13,0.03,1
t_19d9dbd845ed,work,done,organic,2026-07-13,2026-07-13,0.03,1
t_e2d12a3de74c,work,done,organic,2026-07-13,2026-07-13,0.01,1
t_56caeeb78f6d,work,done,organic,2026-07-13,2026-07-13,0.01,1
t_e798564aa4b4,work,done,organic,2026-07-13,2026-07-13,0.05,4
t_42ce5b0afc71,work,done,organic,2026-07-13,2026-07-13,0.07,3
t_39a13dc82aa6,work,abandoned,organic,2026-07-13,,,1
t_7d52643bd8b0,work,done,organic,2026-07-13,2026-07-13,0.02,1
t_65b92df37d24,work,done,organic,2026-07-13,2026-07-13,0.05,1
t_105ea9e5e99a,work,done,organic,2026-07-13,2026-07-13,0.15,1
t_4a99ac885b49,work,done,organic,2026-07-13,2026-07-13,0.11,1
t_d7b7c54e27eb,work,abandoned,organic,2026-07-13,,,
t_bd022d12a61e,work,done,organic,2026-07-13,2026-07-14,0.74,2
t_d29859c98e86,work,done,organic,2026-07-13,2026-07-18,5.15,2
t_88b7391b7e75,work,done,organic,2026-07-13,2026-07-25,11.87,2
t_041affd80fd9,work,abandoned,organic,2026-07-14,,,
t_a949c530710f,work,abandoned,organic,2026-07-14,,,1
t_949a5041704f,work,done,organic,2026-07-14,2026-07-14,0.11,2
t_da15a51bfabb,work,done,organic,2026-07-14,2026-07-14,0.13,1
t_b91a2b9040ad,work,done,organic,2026-07-14,2026-07-14,0.15,1
t_3f41c878102b,work,done,organic,2026-07-14,2026-07-14,0.03,1
t_c11fa8ae848c,work,done,organic,2026-07-14,2026-07-14,0.04,1
t_39b4036ee328,work,done,organic,2026-07-14,2026-07-14,0.03,1
t_db125aff7019,work,done,organic,2026-07-14,2026-07-18,4.53,1
t_708f9a4d41b4,work,done,organic,2026-07-16,2026-07-16,0.01,1
t_f9b412a88d0d,work,done,organic,2026-07-16,2026-07-16,0.18,2
t_99312151d6b7,work,done,organic,2026-07-17,2026-07-17,0.06,1
t_d36e1b984b39,work,done,organic,2026-07-17,2026-07-17,0.01,1
t_5ae54bb6316b,work,done,organic,2026-07-17,2026-07-17,0.04,1
t_dc329da9ed3c,work,done,organic,2026-07-17,2026-07-17,0.03,1
t_bd12120489a6,work,done,organic,2026-07-17,2026-07-17,0.03,2
t_f8cda221e55b,work,done,organic,2026-07-17,2026-07-17,0.04,3
t_7862c24e11e9,work,done,organic,2026-07-17,2026-07-17,0.01,1
t_485f0488f113,work,done,organic,2026-07-17,2026-07-17,0.07,1
t_306e7ef1d472,work,done,organic,2026-07-17,2026-07-17,0.08,1
t_7d58cdc5c5c4,work,done,organic,2026-07-17,2026-07-17,0.05,1
t_e0aa6e530883,work,done,organic,2026-07-17,2026-07-17,0.05,1
t_32f7c8ae725a,work,done,organic,2026-07-17,2026-07-17,0.07,1
t_f65f16020243,work,done,organic,2026-07-17,2026-07-17,0.12,1
t_efb14116677f,work,abandoned,organic,2026-07-18,,,2
t_296307de3d93,work,done,organic,2026-07-18,2026-07-18,0.01,1
t_db33f39e7705,work,done,organic,2026-07-18,2026-07-18,0.02,1
t_61a9d232815e,work,done,organic,2026-07-18,2026-07-18,0.04,1
t_2a35efbd4b17,work,done,organic,2026-07-18,2026-07-18,0.04,1
t_66a15cfdba48,work,done,organic,2026-07-18,2026-07-18,0.05,1
t_8039e113be76,work,done,organic,2026-07-18,2026-07-18,0.11,3
t_aae2da71da13,work,done,organic,2026-07-18,2026-07-18,0.13,1
t_67c06d6cf6e5,work,done,organic,2026-07-18,2026-07-18,0.02,1
t_96c9085bcd9e,work,done,organic,2026-07-18,2026-07-18,0.05,1
t_f9f013677a47,work,done,organic,2026-07-18,2026-07-18,0.05,1
t_796e1f5dd886,work,done,organic,2026-07-18,2026-07-18,0.11,1
t_43fa0040affd,work,done,organic,2026-07-18,2026-07-18,0.08,2
t_89607af938fd,work,done,organic,2026-07-18,2026-07-18,0.1,2
t_d7fc616d35a1,work,done,organic,2026-07-18,2026-07-19,0.76,4
t_8611e5116555,work,done,organic,2026-07-18,2026-07-19,0.81,1
t_7f576b2bba7f,work,done,organic,2026-07-18,2026-07-19,0.82,1
t_9f070665c16d,work,done,organic,2026-07-18,2026-07-19,1.15,1
t_1edc18037da7,work,done,organic,2026-07-18,2026-07-25,6.78,3
t_1779107261a4,work,abandoned,organic,2026-07-19,,,
t_11f6ad8ec52a,work,abandoned,organic,2026-07-19,,,1
t_e4a7bf8bbae1,work,abandoned,organic,2026-07-19,,,1
t_411829d8c2f7,work,done,organic,2026-07-19,2026-07-19,0.17,2
t_88fd1cdb0833,work,done,organic,2026-07-19,2026-07-19,0.15,2
t_8fb80ef107d8,work,done,organic,2026-07-19,2026-07-19,0.19,2
t_6b23256a578a,work,done,organic,2026-07-19,2026-07-19,0.18,2
t_d54554c0cc13,work,done,organic,2026-07-19,2026-07-20,0.66,1
t_678e9655f187,work,done,organic,2026-07-19,2026-07-20,0.67,1
t_904d24ffe2e2,work,done,organic,2026-07-19,2026-07-20,0.71,1
t_b96b458c065a,work,done,organic,2026-07-20,2026-07-20,0.05,1
t_482b3f47713d,work,done,organic,2026-07-20,2026-07-20,0.03,1
t_a3e28f86193d,work,done,organic,2026-07-21,2026-07-21,0.03,1
t_5ca6c436aba7,work,done,organic,2026-07-21,2026-07-21,0.01,1
t_ffa9c4c2550e,work,done,organic,2026-07-21,2026-07-21,0.01,1
t_de5d61273621,work,done,organic,2026-07-21,2026-07-21,0.02,1
t_3c0467bc88c5,work,done,organic,2026-07-21,2026-07-21,0.02,1
t_ce74559650d2,work,done,organic,2026-07-22,2026-07-22,0.03,1
t_69854c663957,work,done,organic,2026-07-22,2026-07-22,0.02,1
t_b557fe50a3c4,work,done,organic,2026-07-22,2026-07-22,0.06,1
t_ce4d1323fb0a,work,done,organic,2026-07-22,2026-07-22,0.24,2
t_ea40c1d5939a,work,done,organic,2026-07-22,2026-07-22,0.13,2
t_78155f131fb2,work,done,organic,2026-07-22,2026-07-22,0.11,1
t_c57bb937726e,work,done,organic,2026-07-22,2026-07-22,0.27,1
t_4d906a956e32,work,done,organic,2026-07-22,2026-07-22,0.34,1
t_73a4454962dd,work,done,organic,2026-07-22,2026-07-22,0.46,1
t_cdcd52ece08c,work,done,organic,2026-07-22,2026-07-23,0.58,
t_f8b7570f4332,work,abandoned,organic,2026-07-22,2026-07-23,1.13,5
t_a31a564ea7df,work,done,organic,2026-07-23,2026-07-23,0.06,2
t_e077b9a13b5b,work,done,organic,2026-07-23,2026-07-23,0.16,1
t_5013414e34ef,work,done,organic,2026-07-23,2026-07-23,0.38,3
t_5b4ba32534cf,work,done,organic,2026-07-23,2026-07-24,0.62,2
t_dfb3d9e5880d,work,done,organic,2026-07-23,2026-07-24,1.32,1
t_deac93878d3b,work,done,organic,2026-07-23,2026-07-24,1.59,1
t_1f022dc51c11,work,done,organic,2026-07-24,2026-07-24,0.04,1
t_d4f85e4a402b,work,done,organic,2026-07-24,2026-07-24,0.04,1
t_ec413a880656,work,abandoned,organic,2026-07-24,,,
t_fe4db522d2c5,work,done,organic,2026-07-24,2026-07-24,0.23,1
t_7994865ff162,work,done,organic,2026-07-24,2026-07-24,0.31,1
t_1d2d002141bf,work,done,organic,2026-07-24,2026-07-24,0.64,1
t_5d4c60073624,work,done,organic,2026-07-24,2026-07-25,0.48,2
t_610067f686b1,work,done,organic,2026-07-24,2026-07-25,0.51,1
t_2fd6e00540d1,work,done,organic,2026-07-25,2026-07-25,0.07,1
t_a5db05edb485,work,done,organic,2026-07-25,2026-07-25,0.05,1
t_2340139c5d76,experiment,abandoned,verify-timeout-experiment,2026-07-11,,,
t_cc0464de4711,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_1196fa4df0f6,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_09e3f0797b89,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_ec68e63c28eb,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_d3362d8815ba,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_96411c12a131,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_0a25d3311c3c,experiment,done,verify-timeout-experiment,2026-07-13,2026-07-13,0.01,1
t_7395a137afaa,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_9fb3232f5fb8,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_3ebabaf46c27,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_3c376d20fcaa,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_e81681b2be4c,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_7e75fc116898,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_e9ff7bf0af1c,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_86d8b3931d72,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_deeba64064d2,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_23864bb0a0ac,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_a3152c5f304c,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_e6706947d5d5,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_73531f8c49e0,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_1fb52b8fc9cb,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,1
t_c94b3272826e,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_e533fabd7905,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_54b8da679ca0,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_ea00cac55da5,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_23fa27f91b90,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_73efc654b678,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_7e48b5cde8bf,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_9b933d53ac80,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_276fbfdbf2ac,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_14dfb747bfd4,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_8891e0800c70,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_e7276ef22494,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_d8bf54f32f8f,experiment,done,verify-timeout-experiment,2026-07-13,2026-07-13,0.01,1
t_357829f4eff8,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_285c919af28e,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_f7b00d1e32eb,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_f9658141cf8e,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_ef5e40f2314d,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_b144233ad657,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_4298a94d5468,experiment,done,verify-timeout-experiment,2026-07-13,2026-07-13,0.02,1
t_bf4cb2f438eb,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,1
t_81f9fc3369a8,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_bb03412f46ba,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_8d269c490c40,experiment,done,verify-timeout-experiment,2026-07-13,2026-07-13,0.02,1
t_74021717e4d0,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_0965a05f4059,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_09ea574b1689,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,1
t_946c09a4a03c,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_44e8f4238d87,experiment,abandoned,verify-timeout-experiment,2026-07-13,,,
t_d9bed35e7579,experiment,abandoned,verify-timeout-experiment,2026-07-14,,,
t_38d484f52499,experiment,abandoned,verify-timeout-experiment,2026-07-14,,,
t_1ae2aee6bd1f,experiment,abandoned,verify-timeout-experiment,2026-07-14,,,
t_d1cbf81ce3fe,experiment,abandoned,verify-timeout-experiment,2026-07-14,,,
t_7a4f0c1b4de1,experiment,abandoned,verify-timeout-experiment,2026-07-14,,,
t_43f25de73f72,experiment,abandoned,verify-timeout-experiment,2026-07-14,,,
t_a64ad6da9438,experiment,abandoned,verify-timeout-experiment,2026-07-14,,,
t_9b1c8d4c5044,experiment,abandoned,verify-timeout-experiment,2026-07-14,,,
t_3102ef0aae55,experiment,abandoned,verify-timeout-experiment,2026-07-14,,,
t_38deb3185087,experiment,abandoned,verify-timeout-experiment,2026-07-14,,,
t_41e4b55cb027,experiment,abandoned,verify-timeout-experiment,2026-07-14,,,
t_fabe79b00960,experiment,abandoned,verify-timeout-experiment,2026-07-14,,,
t_a080bce7ca8d,experiment,abandoned,verify-timeout-experiment,2026-07-14,,,
t_c7ca77ba5d38,experiment,abandoned,verify-timeout-experiment,2026-07-14,,,
t_c3107bc633d1,experiment,abandoned,verify-timeout-experiment,2026-07-14,,,
t_5ed151d7d0bd,experiment,abandoned,verify-timeout-experiment,2026-07-14,,,
t_522dc340501f,experiment,abandoned,verify-timeout-experiment,2026-07-14,,,
t_c0c522a1ef3c,experiment,abandoned,verify-timeout-experiment,2026-07-14,,,
t_65940c36db08,experiment,abandoned,verify-timeout-experiment,2026-07-14,,,
t_00cffefd22d0,experiment,abandoned,verify-timeout-experiment,2026-07-14,,,
t_3052c6b7a546,experiment,abandoned,verify-timeout-experiment,2026-07-14,,,
t_f6f73fec614b,experiment,abandoned,verify-timeout-experiment,2026-07-14,,,
t_807f84c29c59,experiment,abandoned,verify-timeout-experiment,2026-07-14,,,
t_3742fdbe15d9,experiment,abandoned,verify-timeout-experiment,2026-07-14,,,
t_cf9a43c97c78,experiment,abandoned,verify-timeout-experiment,2026-07-14,,,
