task_id,classification,status,created_month,completed_month
t_6bd2a06c5cdb,work,done,2026-05,2026-05
t_24112cffe83e,work,done,2026-05,2026-05
t_c43da8f46bfb,work,done,2026-05,2026-05
t_ff5ced685225,work,done,2026-05,2026-05
t_f2ed801d8955,work,done,2026-05,2026-05
t_b1e42c49bb53,work,done,2026-05,2026-05
t_85dde834ec15,work,done,2026-05,2026-05
t_dc12cbdfd1f0,work,done,2026-05,2026-05
t_a3e6092e7ca3,work,done,2026-05,2026-05
t_1bd615cbf350,work,done,2026-05,2026-05
t_d8b74b8cb308,work,done,2026-05,2026-05
t_13720352ec71,work,done,2026-05,2026-05
t_7b7f7a108eaa,work,done,2026-05,2026-05
t_b616df98045c,work,done,2026-05,2026-05
t_c9fc536a6cb5,work,done,2026-05,2026-05
t_7275cd561ce7,work,done,2026-05,2026-05
t_e607b907b027,work,done,2026-05,2026-05
t_9ad760b5d8cf,work,done,2026-05,2026-05
t_78e6cd239afb,work,done,2026-05,2026-05
t_ef6c3a711d52,work,done,2026-05,2026-05
t_67150b55d639,work,done,2026-05,2026-05
t_3d9f1fc3f5a7,work,done,2026-05,2026-05
t_6ced215f147f,work,done,2026-05,2026-05
t_ae2ee3b76cdf,work,done,2026-05,2026-05
t_b6b45dbc4244,governance,done,2026-05,2026-05
t_09e25ad2a394,work,done,2026-05,2026-05
t_c9c6eec32930,work,done,2026-05,2026-05
t_a2fe719454a2,work,done,2026-05,2026-05
t_b3e1afd7a662,work,done,2026-05,2026-05
t_1f2ac1a38749,work,done,2026-05,2026-05
t_967359e68a9a,work,done,2026-05,2026-05
t_18c33febe95f,work,done,2026-05,2026-05
t_478a4caa433f,work,done,2026-05,2026-05
t_b872460efd86,work,done,2026-05,2026-05
t_682f0121735a,work,done,2026-05,2026-05
t_5da534957c49,work,done,2026-05,2026-05
t_35ceeb5613ca,work,done,2026-05,2026-05
t_cce5db1c65ce,work,done,2026-05,2026-05
t_888631a2b0b6,work,done,2026-05,2026-05
t_5718169e41e8,work,done,2026-05,2026-05
t_2cf4b51ff638,work,abandoned,2026-05,
t_25096ca8a2de,work,done,2026-05,2026-05
t_0cab2f43d156,work,done,2026-05,2026-05
t_5459961612b5,work,done,2026-05,2026-05
t_ab3f505aaac8,work,done,2026-05,2026-05
t_56d2297d8b45,work,done,2026-05,2026-05
t_f5bca895ef5a,work,done,2026-05,2026-05
t_c3921324b620,work,done,2026-05,2026-05
t_66c7ccb5ba20,work,done,2026-05,2026-05
t_832a10c3618c,work,done,2026-05,2026-05
t_600034711bbc,work,done,2026-05,2026-05
t_7b004ef2745a,work,done,2026-05,2026-05
t_2834f20bbacb,work,done,2026-05,2026-05
t_a484e7b8b01b,work,done,2026-05,2026-05
t_f6f0ff2bbf67,work,done,2026-05,2026-05
t_918837e3648b,work,done,2026-05,2026-05
t_1570cfbe1ed3,work,done,2026-05,2026-05
t_0b5c066029cf,work,done,2026-05,2026-05
t_9657c324031a,work,done,2026-05,2026-05
t_3a7c585a4dcb,work,done,2026-05,2026-05
t_e11429fa1bac,work,done,2026-05,2026-05
t_a878982e6db5,work,abandoned,2026-05,
t_236bd163b401,work,done,2026-05,2026-05
t_584d8d3b5394,governance,done,2026-05,2026-05
t_93ebc41e2be4,work,done,2026-05,2026-05
t_6657176312b4,work,done,2026-05,2026-05
t_df95bd807213,work,done,2026-05,2026-05
t_b7d3410a672d,work,done,2026-05,2026-05
t_7956dc38a602,work,done,2026-05,2026-05
t_2a3955f0bdb2,work,done,2026-05,2026-05
t_8e7e6789233c,work,done,2026-05,2026-05
t_a6d278b63798,work,done,2026-05,2026-05
t_824bff1e5b99,work,done,2026-05,2026-05
t_798ba79c3c11,work,done,2026-05,2026-05
t_af1c9aff40cb,work,done,2026-05,2026-05
t_b71f65ee1f0a,work,done,2026-05,2026-05
t_41ce06621a06,work,done,2026-05,2026-05
t_d811648ea2fe,work,done,2026-05,2026-05
t_e48e24190877,work,done,2026-05,2026-05
t_60b30def4b53,work,done,2026-05,2026-05
t_daff875d4d55,work,done,2026-05,2026-05
t_75e8f4716312,work,done,2026-05,2026-05
t_41f1c0787e10,work,done,2026-05,2026-05
t_f1c16aa67a8b,work,done,2026-05,2026-05
t_06a48e9b5abb,work,done,2026-05,2026-05
t_130b393bda04,work,done,2026-05,2026-05
t_727b4cd8abda,work,done,2026-05,2026-05
t_5825ff83a863,work,done,2026-05,2026-05
t_14fcbf3b366b,work,abandoned,2026-05,
t_c9a11d638271,work,done,2026-05,2026-05
t_5fde0e976128,work,done,2026-05,2026-05
t_cfd5b6a60453,work,done,2026-05,2026-05
t_cd118e4ea2a2,work,done,2026-05,2026-05
t_f06ea7eb5757,work,done,2026-05,2026-05
t_db04b267d4bd,work,done,2026-05,2026-05
t_650d19e43378,work,abandoned,2026-05,
t_6a2ff9cb55c1,work,done,2026-05,2026-05
t_9137256258d7,work,done,2026-05,2026-05
t_b88f51463c0f,work,done,2026-05,2026-05
t_1d743a0e0b88,work,done,2026-05,2026-05
t_737d59837dd4,work,done,2026-05,2026-05
t_15c8a563a4aa,work,done,2026-05,2026-05
t_2e6914547125,work,done,2026-05,2026-05
t_eadf80eb6a0a,work,done,2026-05,2026-05
t_1ce02d8d7280,work,done,2026-05,2026-05
t_24cfa9a9822f,work,done,2026-05,2026-05
t_ec74a023ff57,work,done,2026-05,2026-05
t_96f9c908384b,work,done,2026-05,2026-05
t_3a9df1eb1682,work,done,2026-05,2026-05
t_30e5facbbbb0,work,done,2026-05,2026-05
t_2de92fc3568c,work,done,2026-05,2026-05
t_c9b9cb67e088,work,done,2026-05,2026-05
t_c4884ffdb713,work,done,2026-05,2026-05
t_b45817ad1eb8,work,done,2026-05,2026-05
t_927cf7249935,work,done,2026-05,2026-05
t_7e7d71ca2f65,work,done,2026-05,2026-05
t_3450a85d9ae1,work,done,2026-05,2026-05
t_138d86d0ea6d,work,done,2026-05,2026-05
t_212a960d745c,work,done,2026-05,2026-05
t_3f75861102c1,work,done,2026-05,2026-05
t_6536d3c69801,work,done,2026-05,2026-05
t_f20780c2cf99,work,done,2026-05,2026-05
t_13f01afa3646,work,done,2026-05,2026-05
t_69dd0e991143,work,done,2026-05,2026-05
t_47eae8340dff,work,done,2026-05,2026-05
t_151e75ed10a6,work,done,2026-05,2026-05
t_ec108633e144,work,done,2026-05,2026-05
t_dd7b21952359,work,done,2026-05,2026-05
t_b4c94b6807b7,work,done,2026-05,2026-05
t_c5c55b003a70,work,done,2026-05,2026-05
t_2fd6879d24a3,work,done,2026-05,2026-05
t_434792a9c727,work,done,2026-05,2026-05
t_bdec171c9eb7,work,done,2026-06,2026-06
t_7ec63c77f35d,work,done,2026-06,2026-06
t_82e32ec661c8,governance,done,2026-05,2026-05
t_9b5df899263a,governance,done,2026-05,2026-05
t_13562e9b560e,governance,done,2026-05,2026-05
t_25928a5afe06,governance,done,2026-05,2026-05
t_569d21dd4871,governance,done,2026-05,2026-05
t_df3267964935,governance,done,2026-05,2026-05
t_02d98d9bcf32,governance,done,2026-05,2026-05
t_5527c32f8203,governance,done,2026-06,2026-06
t_61867ebf7ddf,governance,done,2026-05,2026-05
t_dfea19128c58,governance,done,2026-05,2026-05
t_c30a857d2844,governance,done,2026-05,2026-05
t_7ddfd3ba94a6,governance,done,2026-05,2026-05
t_dcead7aca1b1,governance,done,2026-05,2026-05
t_09ef67c778f6,governance,done,2026-05,2026-05
t_82e97a7d1bcb,governance,done,2026-05,2026-05
t_cbd04abe633c,governance,done,2026-05,2026-05
t_e0ac91283a35,governance,done,2026-05,2026-05
t_e5c9b82b2040,governance,done,2026-05,2026-05
t_49dd728f4a88,governance,done,2026-05,2026-05
t_49e1b04b321b,governance,done,2026-05,2026-05
t_d4acde6a968a,governance,done,2026-05,2026-05
t_39c20bbaafd9,governance,done,2026-05,2026-05
t_e8151f11bf7a,governance,done,2026-05,2026-05
t_b01bc7c2fa5f,governance,done,2026-05,2026-05
t_1b88b6f693fe,governance,done,2026-05,2026-05
t_031a617012d6,governance,done,2026-05,2026-05
t_ccf995e8b49d,governance,done,2026-05,2026-05
t_6b316b41990a,governance,done,2026-05,2026-05
t_6595a570af81,governance,done,2026-05,2026-05
t_8ddc275cbe37,governance,done,2026-05,2026-05
t_6d0389d1fe23,governance,done,2026-05,2026-05
t_8748cc1ef5f7,governance,done,2026-05,2026-05
t_6ce336fcd327,governance,done,2026-05,2026-05
t_6175ca99a30f,governance,done,2026-05,2026-05
t_b3ac9bc21e83,governance,done,2026-05,2026-05
t_2512a0c1cf9e,governance,done,2026-05,2026-05
t_7877908c4398,governance,done,2026-05,2026-05
t_70ad37620efa,governance,done,2026-05,2026-05
t_5abc203446b2,governance,done,2026-05,2026-05
t_61fa92cba727,governance,done,2026-05,2026-05
t_f42ee5846ef4,governance,done,2026-05,2026-05
t_bc0325f09466,governance,done,2026-05,2026-05
t_d0d02645df54,governance,done,2026-05,2026-05
t_15c1a1044e88,governance,done,2026-05,2026-05
t_7928067071bd,governance,done,2026-05,2026-05
t_300516470a9c,governance,done,2026-05,2026-05
t_ec57959da35b,governance,done,2026-05,2026-05
t_c18705c93ba6,governance,done,2026-05,2026-05
t_dec045701578,governance,done,2026-05,2026-05
t_ddcdd31bbbc9,governance,done,2026-05,2026-05
t_7867f3b59dc0,governance,done,2026-05,2026-05
t_36316d383b8c,governance,done,2026-05,2026-05
t_52779b4c3dfa,governance,done,2026-05,2026-05
t_c50fff1429cb,governance,done,2026-05,2026-05
t_1662d734a8b7,governance,abandoned,2026-05,
t_1d873db2b6dd,governance,done,2026-05,2026-05
t_bfb4a396fe88,governance,done,2026-05,2026-05
t_f163ce7ae08b,governance,done,2026-05,2026-05
t_e99c2fb27dfa,governance,done,2026-05,2026-05
t_0bff41299519,governance,done,2026-05,2026-05
t_277328fa4ed7,governance,done,2026-05,2026-05
t_90acc4ec24e2,governance,done,2026-05,2026-05
t_c14251a308f5,governance,done,2026-05,2026-05
t_461444aea0c9,governance,done,2026-05,2026-05
t_ea964bde4263,governance,done,2026-05,2026-05
t_98342e810de8,governance,done,2026-05,2026-05
t_f7877f0d70a0,governance,done,2026-05,2026-05
t_256f4820e5d4,governance,done,2026-05,2026-05
t_80fa9d69a3a0,governance,done,2026-05,2026-05
t_a73e7029fa24,governance,done,2026-05,2026-05
t_a97e909b7516,governance,done,2026-05,2026-05
t_653a0a8d04c6,governance,done,2026-05,2026-05
t_8b2388effdcd,governance,done,2026-05,2026-05
t_fa558899421c,governance,done,2026-05,2026-05
t_0b59ce52e63f,governance,done,2026-05,2026-05
t_301c162be281,governance,done,2026-05,2026-05
t_c86088ec4d23,governance,done,2026-05,2026-05
t_a8f28ba8b085,governance,done,2026-05,2026-05
t_2c9b249706af,governance,done,2026-05,2026-05
t_1fa9e5c52b2c,governance,done,2026-05,2026-05
t_5218e4e6061b,governance,done,2026-05,2026-05
t_09398c893b01,governance,done,2026-05,2026-05
t_3ad7c980f495,governance,done,2026-05,2026-05
t_4124e7206b76,governance,done,2026-05,2026-05
t_6d5e93310b97,governance,done,2026-05,2026-05
t_9a4489743092,governance,done,2026-05,2026-05
t_9b739f388e4b,governance,done,2026-05,2026-05
t_2a19688c2c4c,work,done,2026-05,2026-05
t_57d576cf8a2f,governance,done,2026-05,2026-05
t_53f2bb3a56dc,governance,done,2026-05,2026-05
t_c697eef4638f,governance,done,2026-05,2026-05
t_728a085ff9b9,governance,done,2026-05,2026-05
t_cae7586610ff,governance,done,2026-05,2026-05
t_f9640dc2b0c8,governance,done,2026-05,2026-05
t_38113c68ff90,governance,abandoned,2026-05,
t_5b0bf06d00f6,governance,done,2026-05,2026-05
t_53d38d58d6a3,governance,done,2026-05,2026-05
t_f3bebd777236,governance,done,2026-05,2026-05
t_99ad5706730d,governance,done,2026-05,2026-05
t_b367e1b061e4,governance,done,2026-05,2026-05
t_c12194198fca,governance,done,2026-05,2026-05
t_b4f89f767061,governance,done,2026-05,2026-05
t_659ad5f5b2ba,governance,done,2026-05,2026-05
t_91e0a206e137,governance,done,2026-05,2026-05
t_9bde62270fc5,governance,done,2026-05,2026-05
t_f746cd36b517,governance,done,2026-05,2026-05
t_ea86e569e4bb,governance,done,2026-05,2026-05
t_dfe0d6494023,governance,done,2026-05,2026-05
t_1ee6926ab6d2,governance,done,2026-05,2026-05
t_6fcd8106aeef,governance,done,2026-05,2026-05
t_27eceb480701,governance,done,2026-05,2026-05
t_2bb395386a1b,governance,done,2026-05,2026-05
t_0053cb8a40eb,governance,done,2026-05,2026-05
t_5272df32073e,governance,done,2026-05,2026-05
t_022007878a93,governance,done,2026-05,2026-05
t_1e82815a2243,governance,done,2026-05,2026-05
t_a6031ff3defa,governance,done,2026-05,2026-05
t_6994bde1d85c,governance,done,2026-05,2026-05
t_6a81166b188e,governance,done,2026-05,2026-05
t_aa5bea3174a4,governance,done,2026-05,2026-05
t_9028fd442fa7,governance,done,2026-05,2026-05
t_3a571a5667b5,governance,done,2026-05,2026-05
t_bff2e6e54aed,governance,done,2026-05,2026-05
t_2f358402a70e,governance,done,2026-05,2026-05
t_c3840422e0dd,governance,done,2026-05,2026-05
t_0919ff99d4bc,governance,done,2026-05,2026-05
t_444fa99ac883,governance,done,2026-05,2026-05
t_24e3fc9b8dd8,governance,done,2026-05,2026-05
t_9a400ed5a4c4,governance,done,2026-05,2026-05
t_f35ee5c01911,governance,done,2026-05,2026-05
t_78067ff61b05,governance,done,2026-05,2026-05
t_7aec8dd12fb6,governance,done,2026-05,2026-05
t_8937c55b5ec7,governance,done,2026-05,2026-05
t_3713109eb3dc,governance,done,2026-05,2026-05
t_7aed5f0248ee,governance,done,2026-05,2026-05
t_fedc6127e249,governance,done,2026-05,2026-05
t_f94c464f4fa2,governance,done,2026-05,2026-05
t_1f2ea14daaa3,governance,done,2026-05,2026-05
t_21217bf995a3,governance,done,2026-05,2026-05
t_589f878a8ab7,governance,done,2026-05,2026-05
t_4bdfeed5f090,governance,done,2026-05,2026-05
t_f37283db4aab,governance,done,2026-05,2026-05
t_2cfbeb2ba824,governance,done,2026-05,2026-05
t_8c0ebc7be58f,governance,abandoned,2026-05,
t_b4b057228844,governance,done,2026-05,2026-05
t_57d5fd4928c9,governance,done,2026-05,2026-05
t_960e190fe88b,governance,abandoned,2026-05,
t_3941ee2734da,governance,done,2026-05,2026-05
t_2f8be1397f44,governance,done,2026-05,2026-05
t_10dec4efa2df,governance,done,2026-05,2026-05
t_89e2a5aa4b8b,governance,done,2026-05,2026-05
t_67bbf814bfe3,governance,done,2026-05,2026-05
t_51e004229442,governance,done,2026-05,2026-05
t_e68809df21a2,governance,done,2026-05,2026-05
t_3cb538665e99,governance,done,2026-05,2026-05
t_1032bae775e0,governance,done,2026-05,2026-05
t_9caa7ce609e2,governance,done,2026-05,2026-05
t_f90bc0ff20bf,governance,done,2026-05,2026-05
t_fe22c3368158,governance,done,2026-05,2026-05
t_60c30f7846ba,governance,done,2026-05,2026-05
t_81a99613e104,governance,done,2026-05,2026-05
t_0bfabd220076,governance,done,2026-05,2026-05
t_6390d1b0905a,governance,done,2026-05,2026-05
t_c7d008606b0b,governance,abandoned,2026-05,
t_b9343305687c,governance,done,2026-05,2026-05
t_99b48999e6fc,governance,done,2026-05,2026-05
t_486a07c3aa83,governance,done,2026-05,2026-05
t_52995d2a0861,governance,done,2026-05,2026-05
t_5212587d4110,governance,done,2026-05,2026-05
t_d0d80bf22eae,governance,done,2026-05,2026-05
t_99bae4480520,governance,done,2026-05,2026-05
t_da6fc4065424,governance,done,2026-05,2026-05
t_e0564537231d,governance,done,2026-05,2026-05
t_6ed07a6b6431,governance,done,2026-05,2026-05
t_82cd53f25087,governance,done,2026-05,2026-05
t_ed82a39fb93a,work,done,2026-05,2026-05
t_68032803b264,work,done,2026-05,2026-05
t_0d9b0a7a32b6,governance,done,2026-05,2026-05
t_f8b657c93456,governance,done,2026-05,2026-05
t_f53383472e9b,governance,done,2026-05,2026-05
t_802e677638ef,governance,done,2026-05,2026-05
t_e8b8ced24ba0,governance,done,2026-05,2026-05
t_936d8b6ad48c,governance,done,2026-05,2026-05
t_4496f1fd81f7,governance,done,2026-05,2026-05
t_25aaf7e0aded,governance,done,2026-05,2026-05
t_bf3a20ba885c,governance,done,2026-05,2026-05
t_ee5f8bffb811,governance,done,2026-05,2026-05
t_d1f948db9e3b,governance,done,2026-05,2026-05
t_217a663543ab,governance,done,2026-05,2026-05
t_878fee56e0a1,governance,done,2026-05,2026-05
t_5a6d5db6e1ce,governance,done,2026-05,2026-05
t_c4173a759850,governance,done,2026-05,2026-05
t_e94d282517b7,governance,done,2026-05,2026-05
t_c68e1d18521c,governance,done,2026-05,2026-05
t_4f38bc5f10d0,governance,done,2026-05,2026-05
t_7656f53a8054,governance,done,2026-05,2026-05
t_3de921d8e8f0,governance,done,2026-05,2026-05
t_8b9a0855eaba,governance,done,2026-05,2026-05
t_e77d55c5aad3,governance,done,2026-05,2026-05
t_ecb134bf165e,governance,done,2026-05,2026-05
t_f3dfec03314f,governance,done,2026-05,2026-05
t_1698d51b5cd7,governance,done,2026-05,2026-05
t_a52b88f275ad,governance,done,2026-05,2026-05
t_d7375caf7f98,governance,done,2026-05,2026-05
t_fce84cd0c3a4,governance,done,2026-05,2026-05
t_9b00e08f3e79,governance,done,2026-05,2026-05
t_645f050faa00,governance,done,2026-05,2026-05
t_f352812b3ffb,governance,done,2026-05,2026-05
t_e1a1b30e8dbd,governance,done,2026-05,2026-05
t_f1b8e627e30d,governance,done,2026-05,2026-05
t_acd02744639f,governance,done,2026-05,2026-05
t_dd55fcdd6aed,governance,done,2026-05,2026-05
t_1a51435bad37,governance,done,2026-05,2026-05
t_a1819652e713,governance,done,2026-05,2026-05
t_9c887471a6d3,governance,done,2026-05,2026-05
t_b28348417e4f,governance,abandoned,2026-05,
t_163acf6be101,governance,done,2026-05,2026-05
t_806722cb3b25,governance,open,2026-05,
t_9798eda2c304,governance,done,2026-05,2026-05
t_72d079cc3b86,governance,done,2026-05,2026-05
t_c0e05900f0d0,governance,done,2026-05,2026-05
t_8f53353ea866,governance,done,2026-05,2026-05
t_6802c8f9ec6c,governance,done,2026-05,2026-05
t_5d400577c822,work,in-progress,2026-05,
t_5a24e98f310d,governance,done,2026-05,2026-05
t_274a21fed8e3,governance,done,2026-05,2026-05
t_b97bf8cf9e65,governance,done,2026-05,2026-05
t_d22c916bbe81,governance,done,2026-05,2026-05
t_1b1ac0234a6c,governance,done,2026-05,2026-05
t_881e5289eaff,governance,done,2026-05,2026-05
t_f857284f316e,governance,done,2026-05,2026-05
t_f621c67372ce,governance,done,2026-05,2026-05
t_26b54081b5c9,governance,done,2026-05,2026-05
t_5c77c955e1ed,governance,done,2026-05,2026-05
t_803cfb9c18ae,governance,done,2026-05,2026-05
t_4b1894e2de0f,governance,done,2026-05,2026-05
t_38dbd2961998,governance,done,2026-05,2026-05
t_ce8ac6b21455,governance,done,2026-05,2026-05
t_2ae87a08c1f0,governance,done,2026-05,2026-05
t_9551e1f95092,governance,done,2026-05,2026-05
t_c28a273cf086,governance,done,2026-05,2026-05
t_27379bbba1d3,governance,done,2026-05,2026-05
t_bd316af21d5b,governance,done,2026-05,2026-05
t_00f2d39e8694,governance,done,2026-05,2026-05
t_af5bfdf6ad29,governance,done,2026-05,2026-05
t_c42a261f7685,governance,done,2026-05,2026-05
t_5884f8521b1a,governance,done,2026-05,2026-05
t_fb8df18bfa7e,governance,done,2026-05,2026-05
t_efd49ec524fe,governance,done,2026-05,2026-05
t_191703ecdc20,governance,done,2026-05,2026-05
t_ac9a1905a33f,governance,done,2026-05,2026-05
t_e9d46be4130d,governance,done,2026-05,2026-05
t_1e7c4ef1b691,governance,done,2026-05,2026-05
t_32bb54ed10a5,governance,done,2026-05,2026-05
t_24911d137783,governance,done,2026-05,2026-05
t_f6500f34b40f,governance,done,2026-05,2026-05
t_0d90ae150814,governance,done,2026-05,2026-05
t_4d309e7e6b8b,governance,done,2026-05,2026-05
t_c62ab541f449,governance,abandoned,2026-05,
t_24a22eeca1e7,work,done,2026-05,2026-05
t_17a090551c6c,governance,done,2026-05,2026-05
t_10dbc6d07521,governance,done,2026-05,2026-05
t_441791f59ef4,governance,done,2026-05,2026-05
t_bdecab28ac51,governance,done,2026-05,2026-05
t_ca00a2ea24aa,governance,done,2026-05,2026-05
t_33eb93114cd9,governance,done,2026-05,2026-05
t_6d9289af3deb,governance,done,2026-05,2026-05
t_120e9374808f,governance,done,2026-05,2026-05
t_16a5c41ee425,governance,done,2026-05,2026-05
t_f31250892c15,governance,done,2026-05,2026-05
t_a00a5d6dfded,governance,done,2026-05,2026-05
t_1dd9e2d440cf,governance,done,2026-05,2026-05
t_336ad75105ea,governance,done,2026-05,2026-05
t_4200d5fc6d4d,governance,done,2026-05,2026-05
t_8655d7cfe7e3,governance,done,2026-05,2026-05
t_82235ff6d666,governance,done,2026-05,2026-05
t_42ca5b5125a5,governance,done,2026-05,2026-05
t_792ee788b223,governance,done,2026-05,2026-05
t_ac4412b6603d,governance,done,2026-05,2026-05
t_bfad2ec59e88,governance,done,2026-05,2026-05
t_1f9d9adeedaf,governance,done,2026-05,2026-05
t_9930448f15a9,governance,done,2026-06,2026-06
t_c4d9ab06e466,governance,done,2026-05,2026-05
t_20fff14ce858,governance,done,2026-05,2026-05
t_1b18636c62c7,governance,done,2026-05,2026-05
t_61f14d1d038f,governance,done,2026-05,2026-05
t_646b0b8475c5,governance,abandoned,2026-05,
t_660266d16712,governance,done,2026-05,2026-05
t_747dca0a85f5,governance,done,2026-05,2026-05
t_ac37bd628838,governance,done,2026-05,2026-05
t_f93d22104790,governance,done,2026-05,2026-05
t_5af60adbc434,governance,done,2026-05,2026-05
t_e49820c0c764,governance,done,2026-05,2026-05
t_ee298cc61f0a,governance,done,2026-05,2026-05
t_a9c1e7c585fc,governance,done,2026-05,2026-05
t_72fe880ad5f9,governance,done,2026-05,2026-05
t_f08e1fbbb6d8,governance,done,2026-05,2026-05
t_e67bc9f4933b,governance,done,2026-05,2026-05
t_49e4ee3880fd,governance,done,2026-05,2026-05
t_ff99d048e181,governance,done,2026-05,2026-05
t_cd947779f604,governance,done,2026-05,2026-05
t_1136ff9d714a,governance,done,2026-05,2026-05
t_adc64a3603b2,governance,done,2026-05,2026-05
t_c037b04eedb4,governance,done,2026-05,2026-05
t_638802ed257a,governance,done,2026-05,2026-05
t_04fef42fac0a,governance,done,2026-05,2026-05
t_6bdd3ddb05ab,governance,done,2026-05,2026-05
t_e60ee5d1828e,governance,done,2026-05,2026-05
t_1fc12d84ff48,governance,done,2026-05,2026-05
t_d65562ab6311,governance,done,2026-05,2026-05
t_e73cdbf19f49,governance,done,2026-05,2026-05
t_7a70754dc1ac,governance,done,2026-05,2026-05
t_7394cc2bf65e,governance,done,2026-05,2026-05
t_c8dedde901a2,governance,done,2026-05,2026-05
t_23804ebda329,governance,done,2026-05,2026-05
t_c16f27e8d086,governance,done,2026-05,2026-05
t_c61d49ce9789,governance,done,2026-05,2026-05
t_fb614572ec29,governance,done,2026-05,2026-05
t_ec78bb49496c,governance,done,2026-05,2026-05
t_02da6f602bf2,governance,done,2026-05,2026-05
t_2e1c8a3b2277,work,failed,2026-05,
t_a9bc8d9e54ac,governance,done,2026-05,2026-05
t_16971a7f7c9c,governance,done,2026-05,2026-05
t_3868426b84de,governance,done,2026-05,2026-05
t_f9353cccaff7,governance,done,2026-05,2026-05
t_59cdeda5ccaf,governance,done,2026-05,2026-05
t_5aa8207ce550,governance,done,2026-05,2026-05
t_5344bc501dec,governance,done,2026-05,2026-05
t_507e427d2e03,governance,done,2026-05,2026-05
t_892d0ed44af3,governance,done,2026-05,2026-05
t_024172bc6c80,governance,done,2026-05,2026-05
t_a1e33d979ea9,governance,done,2026-05,2026-05
t_24a6f9f66060,governance,done,2026-05,2026-05
t_09ffc45356aa,governance,done,2026-05,2026-05
