task_id,classification,created_month,final_status,completion_month,event_count,admission_deferred_count
t_8aafe657bf39,work,2026-09,succeeded,2026-09-04,442,437
t_9504cfe79c13,work,2026-09,succeeded,2026-09-04,385,380
t_4d16020c1a1a,work,2026-09,succeeded,2026-09-04,5,0
t_4d1a1c1e35db,work,2026-09,succeeded,2026-09-04,5,0
t_b79e0dea4d0a,work,2026-09,succeeded,2026-09-04,5,0
t_ca9856c0c80c,work,2026-09,succeeded,2026-09-04,5,0
t_337b574c7195,work,2026-09,succeeded,2026-09-04,4,0
t_8cf0a12a6669,work,2026-09,succeeded,2026-09-04,12,1
t_d72b57296f8b,work,2026-09,succeeded,2026-09-04,4,0
t_d6498f0f7b95,work,2026-09,succeeded,2026-09-04,15,0
t_160d51662a80,work,2026-09,succeeded,2026-09-04,4,0
t_9238b86ab913,work,2026-09,succeeded,2026-09-05,7,3
t_2e67107859cd,work,2026-09,succeeded,2026-09-05,4,0
t_8f31f25709b2,work,2026-09,failed,,5,0
t_9fefa75e67cb,work,2026-09,succeeded,2026-09-05,4,0
t_3d7dc0771a0f,work,2026-09,succeeded,2026-09-06,4,0
t_1449f0dc5c0d,work,2026-09,succeeded,2026-09-06,4,0
t_a5efdc0b844b,work,2026-09,succeeded,2026-09-09,4,0
t_e4aa082f2db7,work,2026-09,succeeded,2026-09-09,4,0
t_b9cf9e113166,work,2026-09,succeeded,2026-09-10,4,0
t_5377b86be3ab,work,2026-09,succeeded,2026-09-10,5,1
t_4f0181fa7906,work,2026-09,succeeded,2026-09-12,17,2
t_7b8f62ec6042,work,2026-09,succeeded,2026-09-15,10,0
t_d0485b90726b,work,2026-09,succeeded,2026-09-13,4,0
t_a6859bf1c943,work,2026-09,succeeded,2026-09-13,4,0
t_f40bc1dd5ad4,work,2026-09,succeeded,2026-09-14,11,0
t_40029bfcca61,work,2026-09,succeeded,2026-09-14,10,0
restore-reliable-main-baseline,work,2026-09,succeeded,2026-09-14,15,0
t_917330fab28b,work,2026-09,succeeded,2026-09-14,14,0
t_3d1f5bd66b9a,work,2026-09,succeeded,2026-09-14,4,0
t_d617b1ed71f9,work,2026-09,succeeded,2026-09-14,4,0
t_ca7c60957cdd,work,2026-09,succeeded,2026-09-14,4,0
t_0ae7de37bed2,work,2026-09,succeeded,2026-09-15,4,0
t_672de942b9ae,work,2026-09,succeeded,2026-09-15,279,275
t_9eedaef18c9b,work,2026-09,succeeded,2026-09-15,5,1
t_af2ec59b6c5d,work,2026-09,succeeded,2026-09-15,442,438
t_c2f597beb0d6,work,2026-09,succeeded,2026-09-15,856,852
t_de697cdd28b2,work,2026-09,succeeded,2026-09-15,4,0
t_4c20a07152b8,work,2026-09,succeeded,2026-09-15,4,0
t_dc9deda44e6c,work,2026-09,succeeded,2026-09-15,4,0
t_edf1c3325fea,work,2026-09,succeeded,2026-09-15,4,0
t_3a9a5ebd5390,work,2026-09,succeeded,2026-09-16,54,1
t_5cd8b2b007ac,work,2026-09,succeeded,2026-09-16,4,0
t_5f997617138f,work,2026-09,abandoned,,1,0
t_20695bd8f9a1,work,2026-09,succeeded,2026-09-16,4,0
t_a5286b7e7717,work,2026-09,succeeded,2026-09-16,35,31
t_4be630d0043b,work,2026-09,succeeded,2026-09-16,64,60
t_b4ebad3c6868,work,2026-09,succeeded,2026-09-16,23,19
t_5d400577c822,work,2026-09,abandoned,,1,0
t_6e13e661a5b9,work,2026-09,abandoned,,1,0
t_57555e40a3ee,work,2026-09,abandoned,,1,0
t_d6dfac873e82,work,2026-09,succeeded,2026-09-16,5,1
t_abd8fc42654c,work,2026-09,succeeded,2026-09-16,5,1
t_0795b123fe60,work,2026-09,succeeded,2026-09-16,10,0
t_71b51115ec57,work,2026-09,succeeded,2026-09-16,4,0
t_5441dd1eb143,work,2026-09,succeeded,2026-09-16,4,0
t_dd5ae5a58194,work,2026-09,succeeded,2026-09-16,4,0
t_e4d1a6e41fec,work,2026-09,succeeded,2026-09-16,4,0
t_ddff4bdae993,work,2026-09,succeeded,2026-09-16,4,0
t_24ff617dd3b6,work,2026-09,succeeded,2026-09-16,4,0
t_954ca5572946,work,2026-09,succeeded,2026-09-16,4,0
t_845258e424fe,work,2026-09,other/open,,3,0
