task_id,classification,status,created_at,completed_at
t_d0e9ee15f2e4,work,done,2026-04-01,2026-04-01
t_7716850a3db9,work,done,2026-04-01,2026-04-01
t_2c9c18ebb093,work,done,2026-04-01,2026-04-01
t_f8c243c412dd,work,done,2026-04-01,2026-04-01
t_f9cd9a79270d,work,done,2026-04-02,2026-04-02
t_c33cfe1269c1,work,done,2026-04-02,2026-04-02
t_ccb1229049ba,work,done,2026-04-01,2026-04-01
t_4ec8d4990843,work,done,2026-03-31,2026-03-31
t_fbc82739e883,work,done,2026-04-01,2026-04-01
t_acee9b6279ca,work,done,2026-04-01,2026-04-01
t_ed127e22bd0b,work,done,2026-04-01,2026-04-01
t_f30dfa5dad4d,work,done,2026-03-31,2026-03-31
t_f68dc146047e,work,done,2026-04-01,2026-04-01
t_6324348cbcc7,work,done,2026-04-02,2026-04-02
t_c75bbd47c0ad,work,done,2026-04-01,2026-04-01
t_5578c9c7a8e9,work,done,2026-04-01,2026-04-02
t_b4cc67744338,work,done,2026-04-02,2026-04-02
t_558b23032164,work,done,2026-04-02,2026-04-02
t_d1ab0cc3573d,work,done,2026-04-02,2026-04-02
t_78afd41d641f,work,done,2026-04-01,2026-04-01
t_24111551a4bd,work,done,2026-04-01,2026-04-01
t_aefc4e1128b2,work,done,2026-04-02,2026-04-02
t_e372ced5763a,work,done,2026-04-02,2026-04-02
t_e6686f367931,work,done,2026-04-02,2026-04-02
t_6a10f5ae4cd1,work,done,2026-04-01,2026-04-01
t_44688f994f3b,work,done,2026-03-31,2026-03-31
t_946a2087d8a0,work,done,2026-04-02,2026-04-02
t_af0b0b147c4b,work,done,2026-04-02,2026-04-02
t_c9d13017570d,work,done,2026-04-02,2026-04-02
t_d0027e2c74ef,work,abandoned,2026-04-01,
t_2e8072971cbe,work,abandoned,2026-04-01,
t_eacc0c3d57ec,work,done,2026-04-02,2026-04-02
t_0a5f6e4996e4,work,done,2026-04-01,2026-04-01
t_32b0c09a8ac3,work,done,2026-03-31,2026-03-31
t_d3e107d79869,work,done,2026-04-01,2026-04-01
t_d4425266c5cb,work,done,2026-04-01,2026-04-01
t_19d5388db10f,governance,done,2026-04-01,2026-04-01
t_965fc9fe60fc,work,done,2026-04-02,2026-04-02
t_3ef91defcfa4,work,done,2026-04-02,2026-04-02
t_3629f1f477ab,work,done,2026-04-02,2026-04-02
t_e528d2bf97bd,work,done,2026-03-31,2026-03-31
t_3aa8f131a317,work,done,2026-03-31,2026-03-31
t_546c19d1d11a,work,done,2026-04-01,2026-04-01
